id,question,expected_tool,actual_tool,tool_correct,used_fallback,missing_fallback,trajectory_summary
q001,What is the candidate's full name?,structured,structured,True,False,False,get_structured_data
q002,What is the candidate's email address?,structured,structured,True,False,False,get_structured_data
q003,What is the candidate's phone number?,structured,structured,True,False,False,get_structured_data
q004,What is the candidate's LinkedIn profile?,structured,structured,True,False,False,get_structured_data
q005,What is the candidate's GitHub profile URL?,structured,structured,True,False,False,get_structured_data
q006,How can I contact the candidate?,structured,none,False,False,False,no tools
q007,What country is the candidate based in?,structured,structured,True,False,False,get_structured_data
q008,What is the candidate's country dialing code?,structured,structured,True,False,False,get_structured_data
q009,What degree does the candidate hold?,structured,structured,True,False,False,get_structured_data
q010,What did the candidate study?,structured,structured,True,False,False,get_structured_data
q011,Where did the candidate study?,structured,structured,True,False,False,get_structured_data
q012,When did the candidate graduate?,structured,structured,True,False,False,get_structured_data
q013,What is the candidate's GPA?,structured,structured,True,False,False,get_structured_data
q014,Tell me about the candidate's educational background.,docs,structured,False,False,True,get_structured_data
q015,What was the candidate's capstone project about?,docs,docs,True,False,False,search_documents
q016,Was the candidate on the Dean's List?,docs,docs,True,False,False,search_documents
q017,How many years of experience does the candidate have?,structured,structured,True,False,False,get_structured_data
q018,What is the candidate's current role?,structured,structured,True,False,False,get_structured_data
q019,Describe the candidate's current job responsibilities.,structured,structured,True,False,False,get_structured_data
q020,Where has the candidate worked previously?,docs,docs,True,False,False,search_documents
q021,What was the candidate's first job?,docs,docs,True,False,False,search_documents
q022,Describe the candidate's work at TechStart Solutions.,docs,docs,True,False,False,search_documents
q023,Has the candidate led a team?,docs,docs,True,False,False,search_documents
q024,What industries has the candidate worked in?,docs,docs,True,False,False,search_documents
q025,How did the candidate reduce model inference latency?,docs,docs,True,False,False,search_documents
q026,Has the candidate worked as a teaching assistant?,docs,docs,True,False,False,search_documents
q027,What programming languages does the candidate know?,docs,docs,True,False,False,search_documents
q028,What ML and deep learning frameworks does the candidate use?,docs,docs,True,False,False,search_documents
q029,What cloud platforms does the candidate have experience with?,docs,docs,True,False,False,search_documents
q030,What databases has the candidate worked with?,docs,docs,True,False,False,search_documents
q031,Does the candidate have DevOps experience?,docs,docs,True,False,False,search_documents
q032,Does the candidate know Python?,docs,docs,True,False,False,search_documents
q033,Does the candidate have experience with PyTorch?,docs,docs,True,False,False,search_documents
q034,Does the candidate have frontend development skills?,docs,docs,True,False,False,search_documents
q035,What NLP experience does the candidate have?,docs,docs,True,False,False,search_documents
q036,Does the candidate have computer vision experience?,docs,docs,True,False,False,search_documents
q037,Does the candidate have experience with Kubernetes?,docs,docs,True,False,False,search_documents
q038,What data engineering tools does the candidate know?,docs,docs,True,False,False,search_documents
q039,What projects has the candidate worked on?,docs,docs,True,False,False,search_documents
q040,Tell me about the recommendation engine project.,docs,docs,True,False,False,search_documents
q041,What was the outcome of the fraud detection project?,docs,docs,True,False,False,search_documents
q042,What technologies were used in the chatbot project?,docs,docs,True,False,False,search_documents
q043,What is the candidate's most significant project?,docs,docs,True,False,False,search_documents
q044,Has the candidate contributed to open-source projects?,docs,docs,True,False,False,search_documents
q045,What ML models has the candidate built?,docs,docs,True,False,False,search_documents
q046,Does the candidate have real-time systems experience?,docs,docs,True,False,False,search_documents
q047,Has the candidate worked on any NLP projects?,docs,docs,True,False,False,search_documents
q048,What is the largest dataset the candidate has worked with?,docs,docs,True,False,False,search_documents
q049,What certifications does the candidate have?,docs,docs,True,False,False,search_documents
q050,Does the candidate have any AWS certifications?,docs,docs,True,False,False,search_documents
q051,Does the candidate have a deep learning certification?,docs,docs,True,False,False,search_documents
q052,When did the candidate get their AWS certification?,docs,docs,True,False,False,search_documents
q053,Does the candidate have any project management certifications?,docs,docs,True,False,False,search_documents
q054,What is the candidate's salary expectation?,structured,structured,True,False,False,get_structured_data
q055,Where does the candidate prefer to work?,structured,structured,True,False,False,get_structured_data
q056,When is the candidate available to start?,structured,structured,True,False,False,get_structured_data
q057,"Does the candidate prefer remote, hybrid, or onsite work?",structured,structured,True,False,False,get_structured_data
q058,Is the candidate open to relocation?,structured,structured,True,False,False,get_structured_data
q059,What job title is the candidate looking for?,structured,structured,True,False,False,get_structured_data
q060,Would the candidate work fully onsite?,structured,structured,True,False,False,get_structured_data
q061,When can the candidate start working?,structured,structured,True,False,False,get_structured_data
q066,What is the candidate's blood type?,none,docs,False,False,False,search_documents
q067,What are the candidate's political opinions?,none,docs,False,False,False,search_documents
q068,Is the candidate married?,none,docs,False,False,False,search_documents
q069,What is the candidate's religion?,none,none,True,False,False,no tools
q070,What is the candidate's credit score?,none,none,True,False,False,no tools
q071,Is this candidate overqualified for a junior data scientist role?,docs,structured,False,False,True,get_structured_data
q072,Would this candidate be a good fit for a remote ML role in Europe?,docs,none,False,False,False,no tools
q073,Compare the candidate's academic and professional experience.,docs,structured,False,False,True,get_structured_data → get_structured_data
q074,What unique combination of skills does this candidate offer?,docs,docs,True,False,False,search_documents
q075,Summarize why I should consider this candidate for a senior ML engineer position.,docs,docs,True,False,False,search_documents
