question,deepeval_ContextualRelevancyMetric,deepeval_FaithfulnessMetric,deepeval_HallucinationMetric,deepeval_GEval
What is the candidate's full name?,0.08333333333333333,1.0,0.6666666666666666,1.0
What is the candidate's email address?,0.1111111111111111,1.0,0.6666666666666666,1.0
What is the candidate's phone number?,0.1111111111111111,1.0,0.3333333333333333,0.9
What is the candidate's LinkedIn profile?,0.25,1.0,0.6666666666666666,1.0
What is the candidate's GitHub profile URL?,0.05,1.0,0.0,0.9
How can I contact the candidate?,0.29411764705882354,,0.3333333333333333,0.9
What country is the candidate based in?,0.05263157894736842,1.0,0.6666666666666666,0.6
What is the candidate's country dialing code?,0.09523809523809523,1.0,1.0,1.0
What degree does the candidate hold?,0.5625,1.0,0.6666666666666666,0.7
What did the candidate study?,1.0,1.0,0.0,0.2
Where did the candidate study?,0.2608695652173913,1.0,0.6666666666666666,0.2
When did the candidate graduate?,0.09523809523809523,0.6666666666666666,0.0,0.9
What is the candidate's GPA?,0.13333333333333333,1.0,0.6666666666666666,0.8
Tell me about the candidate's educational background.,0.0,1.0,0.0,0.6
What was the candidate's capstone project about?,0.38095238095238093,0.0,1.0,0.0
Was the candidate on the Dean's List?,,0.5,1.0,0.0
How many years of experience does the candidate have?,0.4,1.0,0.0,1.0
What is the candidate's current role?,0.4117647058823529,1.0,,0.9
Describe the candidate's current job responsibilities.,0.0,,0.0,0.9
Where has the candidate worked previously?,0.8888888888888888,1.0,0.0,0.0
What was the candidate's first job?,0.4117647058823529,1.0,1.0,0.6
Describe the candidate's work at TechStart Solutions.,0.6666666666666666,0.0,1.0,0.0
Has the candidate led a team?,0.6923076923076923,1.0,0.3333333333333333,0.8
What industries has the candidate worked in?,1.0,1.0,1.0,0.0
How did the candidate reduce model inference latency?,0.75,1.0,0.3333333333333333,0.8
Has the candidate worked as a teaching assistant?,0.08333333333333333,0.0,1.0,0.0
What programming languages does the candidate know?,,1.0,0.0,1.0
What ML and deep learning frameworks does the candidate use?,0.47368421052631576,0.0,1.0,0.0
What cloud platforms does the candidate have experience with?,0.1111111111111111,0.0,1.0,0.0
What databases has the candidate worked with?,0.23529411764705882,1.0,1.0,0.0
Does the candidate have DevOps experience?,,1.0,0.0,0.7
Does the candidate know Python?,,1.0,0.0,0.7
Does the candidate have experience with PyTorch?,0.6666666666666666,0.75,0.3333333333333333,0.6
Does the candidate have frontend development skills?,0.0,1.0,0.0,0.6
What NLP experience does the candidate have?,0.47368421052631576,1.0,0.3333333333333333,0.6
Does the candidate have computer vision experience?,0.37037037037037035,0.8,0.0,0.8
Does the candidate have experience with Kubernetes?,,0.75,0.0,0.9
What data engineering tools does the candidate know?,,1.0,0.0,0.0
What projects has the candidate worked on?,0.34782608695652173,1.0,1.0,0.0
Tell me about the recommendation engine project.,0.0,1.0,0.0,0.0
What was the outcome of the fraud detection project?,0.0,1.0,0.0,0.0
What technologies were used in the chatbot project?,0.7307692307692307,1.0,0.3333333333333333,0.7
What is the candidate's most significant project?,0.9090909090909091,1.0,1.0,0.0
Has the candidate contributed to open-source projects?,0.17391304347826086,1.0,0.6666666666666666,0.9
What ML models has the candidate built?,0.8947368421052632,1.0,0.0,0.9
Does the candidate have real-time systems experience?,0.2777777777777778,1.0,0.0,0.9
Has the candidate worked on any NLP projects?,0.391304347826087,0.0,1.0,0.0
What is the largest dataset the candidate has worked with?,0.4666666666666667,1.0,1.0,0.9
What certifications does the candidate have?,0.5263157894736842,0.0,1.0,0.0
Does the candidate have any AWS certifications?,0.44,0.0,1.0,0.0
Does the candidate have a deep learning certification?,0.48,1.0,0.6666666666666666,1.0
When did the candidate get their AWS certification?,0.46153846153846156,1.0,0.3333333333333333,0.1
Does the candidate have any project management certifications?,0.1875,1.0,0.6666666666666666,0.9
What is the candidate's salary expectation?,0.0,1.0,1.0,1.0
Where does the candidate prefer to work?,0.0,1.0,1.0,0.1
When is the candidate available to start?,,1.0,1.0,0.9
"Does the candidate prefer remote, hybrid, or onsite work?",,1.0,1.0,1.0
Is the candidate open to relocation?,,1.0,1.0,0.1
What job title is the candidate looking for?,0.0,1.0,1.0,0.9
Would the candidate work fully onsite?,0.4,1.0,1.0,0.5
When can the candidate start working?,0.0,1.0,1.0,0.9
Is this candidate overqualified for a junior data scientist role?,1.0,1.0,1.0,0.5
Would this candidate be a good fit for a remote ML role in Europe?,0.0,1.0,0.0,0.7
Compare the candidate's academic and professional experience.,0.0,,0.0,0.5
What unique combination of skills does this candidate offer?,1.0,1.0,0.6666666666666666,0.6
Summarize why I should consider this candidate for a senior ML engineer position.,0.0,,0.0,0.7
