question,deepeval_hallucination
When did the candidate graduate?,0.0
What was the candidate's thesis about?,0.0
Did the candidate receive any academic honors?,0.0
Where has the candidate worked previously?,0.3333333333333333
What was the candidate's first job?,1.0
Describe the candidate's work at Check Point.,0.0
Has the candidate held a leadership role?,0.0
What industries has the candidate worked in?,0.0
What is a key technical achievement the candidate accomplished?,0.0
Has the candidate had any teaching experience?,0.0
What programming languages does the candidate know?,0.0
What are the candidate's primary security tools and frameworks?,0.0
What cloud platforms does the candidate have experience with?,0.6666666666666666
What databases has the candidate worked with?,0.6666666666666666
Does the candidate have DevSecOps experience?,0.0
Does the candidate know Python?,0.0
Does the candidate have experience with penetration testing?,0.0
Does the candidate have SIEM experience?,0.3333333333333333
What threat analysis experience does the candidate have?,0.0
Does the candidate have identity and access management experience?,0.0
Does the candidate have experience with Kubernetes?,0.0
What networking skills does the candidate have?,0.3333333333333333
What projects has the candidate worked on?,0.0
Tell me about the zero-trust architecture project.,0.0
What was the outcome of the threat intelligence project?,0.0
What technologies were used in the red team automation project?,0.0
What is the candidate's most significant project?,0.0
Has the candidate contributed to open-source projects?,0.3333333333333333
What systems has the candidate built?,0.0
Does the candidate have red team experience?,0.0
Has the candidate worked on any research projects?,0.0
What is the scale of systems the candidate has worked with?,0.3333333333333333
What certifications does the candidate have?,0.0
Does the candidate have an OSCP certification?,0.6666666666666666
Does the candidate have a CISSP certification?,0.0
When did the candidate get their AWS security certification?,0.0
Does the candidate have any management certifications?,0.0
What are the candidate's political opinions?,1.0
What is the candidate's religion?,1.0
Is this candidate overqualified for a junior security analyst role?,0.0
What unique combination of skills does this candidate offer?,0.0
Summarize why I should consider this candidate for a principal security engineer position.,0.0
What was the candidate's capstone project about?,0.0
Did the candidate receive any academic honors?,0.6666666666666666
Describe the candidate's current job responsibilities.,0.0
Where has the candidate worked previously?,0.0
What was the candidate's first job?,1.0
Has the candidate held a leadership role?,0.3333333333333333
What industries has the candidate worked in?,0.0
What is a key technical achievement the candidate accomplished?,0.6666666666666666
Has the candidate had any teaching or mentoring experience?,0.0
What programming languages does the candidate know?,1.0
What are the candidate's primary technical frameworks and tools?,0.0
What cloud platforms does the candidate have experience with?,0.6666666666666666
What databases has the candidate worked with?,1.0
Does the candidate have DevOps or infrastructure experience?,0.0
Does the candidate know Python?,0.0
Does the candidate have experience with Kubernetes?,0.0
Does the candidate have CI/CD experience?,0.6666666666666666
What observability experience does the candidate have?,0.0
Does the candidate have Infrastructure-as-Code experience?,0.3333333333333333
Does the candidate have experience with service mesh?,0.6666666666666666
What networking and security tools does the candidate know?,0.6666666666666666
What projects has the candidate worked on?,0.0
Tell me about the multi-cloud migration project.,0.0
What was the outcome of the deployment platform project?,0.0
What technologies were used in the autoscaler project?,0.0
What is the candidate's most significant project?,0.0
Has the candidate contributed to open-source projects?,0.0
What systems has the candidate built?,0.3333333333333333
Does the candidate have experience with cost optimization?,0.0
